होना_01	होना	to be (a verb indicating existence or a state of being)	मेरे घर में एक बड़ा बगीचा होना चाहिए	meɾe gʰəɾ meɳ ek bəɽa bəgiːtʃa hoɳa tʃaːhie	My house should have a big garden	[sound:होना_01.mp3]	"<img src=""होना_01.jpg"">"	house, garden, family	
होना_02	होना	to be (a verb indicating existence or a state of being)	वहाँ जाने के लिए कोई बस होनी चाहिए	vəɦaɳ ɟaːne ke lije koɪ bas hoɳi tʃaːhie	There should be a bus to go there	[sound:होना_02.mp3]	"<img src=""होना_02.jpg"">"	bus, road, travel	
होना_03	होना	to be (a verb indicating existence or a state of being)	क्या यहाँ कोई होटल होने वाला है	kja ɦɛɳ koɪ hoʈel hoɳe vaːla ɦɛ	Is there going to be a hotel here	[sound:होना_03.mp3]	"<img src=""होना_03.jpg"">"	hotel, building, city	
होना_04	होना	to be (a verb indicating existence or a state of being)	मुझे लगता है कि यहाँ एक पार्क होना चाहिए	mʊɻʊe laɡta ɦɛ ki ɦɛɳ ek paɾk hoɳa tʃaːhie	I think there should be a park here	[sound:होना_04.mp3]	"<img src=""होना_04.jpg"">"	park, trees, playground	
होना_05	होना	to be (a verb indicating existence or a state of being)	तुम्हारे पास एक अच्छा फोन होना चाहिए	tʊmʰaɾe paːs ek atʃtʃʰa foɳ hoɳa tʃaːhie	You should have a good phone	[sound:होना_05.mp3]	"<img src=""होना_05.jpg"">"	phone, hand, technology	
होना_06	होना	to be (a verb indicating existence or a state of being)	कल मेरे ऑफिस में एक बैठक होनी है	kəl meɾe oːfis meɳ ek biːtʃa hoɳi ɦɛ	There is a meeting in my office tomorrow	[sound:होना_06.mp3]	"<img src=""होना_06.jpg"">"	office, meeting, table	
होना_07	होना	to be (a verb indicating existence or a state of being)	क्या तुम्हें लगता है कि वहाँ एक सिनेमा हॉल होना चाहिए	kja tʊmʰeɳ laɡta ɦɛ ki vəɦaɳ ek sɪneːma ɦoːl hoɳa tʃaːhie	Do you think there should be a cinema hall there	[sound:होना_07.mp3]	"<img src=""होना_07.jpg"">"	cinema, hall, movie	
होना_08	होना	to be (a verb indicating existence or a state of being)	मेरे दोस्त के पास एक नई कार होने वाली है	meɾe doːst ke paːs ek naɪ kaɾ hoɳe vaːli ɦɛ	My friend is going to have a new car	[sound:होना_08.mp3]	"<img src=""होना_08.jpg"">"	car, friend, road	
होना_09	होना	to be (a verb indicating existence or a state of being)	मुझे लगता है कि यहाँ एक पुस्तकालय होना चाहिए	mʊɻʊe laɡta ɦɛ ki ɦɛɳ ek pʊstakaːlaɪ hoɳa tʃaːhie	I think there should be a library here	[sound:होना_09.mp3]	"<img src=""होना_09.jpg"">"	library, books, reading	
होना_10	होना	to be (a verb indicating existence or a state of being)	क्या तुम्हारे घर में एक बड़ा कमरा होना चाहिए	kja tʊmʰaɾe gʰəɾ meɳ ek bəɽa kəmɾa hoɳa tʃaːhie	Should your house have a big room	[sound:होना_10.mp3]	"<img src=""होना_10.jpg"">"	house, room, family	
